nome	mail	web	tel	fax	ind	info
TACCHINO S.r.l.	info@tacchino.it	www.tacchino.it	0039 0131 270267	0039 0131 273670	Via Castelspina 1114/b15073 CASTELLAZZO BORMIDA (AL)Italia	Cappelli - Abbigliamento - Caschi per equitazione - Caps - Stivali - Guanti Hats - Gloves - Clothing - Horse-riding accessories - Horse-riding hats
BRAENDLE &amp; PARTNER HANDELS OG	info@hms4you.eu	www.hms4you.com	0043 6769182113	0043 557220457214	Schmalenegg 96850 DORNBIRN ( )AUSTRIA	Finimenti - Fibbie - Cavezze - Briglie - Stivali - Sottoselle - Selleria - Attrezzature ippiche Harness - Buckles - Halters - Bridles - Boots - Pads - Saddlery - Horse riding equipment
PROFILINE S.r.l.	profiline@iol.it		0039 049 8668593	0039 049 8910210	Via Ottaviana, 135036 MONTEGROTTO TERME (PD)Italia	Attrezzi per la pulizia e la cura del cavallo ed articoli per il trekking Sport cutlery - Clippers - Horse-riding accessories - Nail cutters - Electric equipment - Buckles
R.M. CALZATURE E PICCOLE PELLETTERIE	annatintoretto70@hotmail.it		0039 338 6396354	0039 0431 439285	Corso Del Sole 24430020 BIBIONE (VE)Italia	Calzature e piccole pelletterie
ALESSIA ANSALDI DESIGN	alessia@alessiaansaldidesign.it	www.aad-ilmiopony.it	0039 02 36687443	0039 02 43981141	P.le Aquileia 1220144 MILANO (MI)Italia	IL MIO PONY una collezione di gioielli in argento e oro: ciondoli, orecchini, bracciali, collane, gemelli e fermaplastron con il cavallo come protagonista. IL MIO PONY a jewel collection in silver and gold: pendants, earrings, necklaces, cufflinks, charms and plastronpins with the horse as protagonist.
SUPER LUCKY S.r.l.	info@kingcruiserclotz.com	www.kingcruiserclotz.com	0039 327 0858728		Via Della Repubblica, 15359100 PRATO (PO)Italia	Abbigliamento
IBERO IMPORT	fredericpelat@wanadoo.fr	www.equitation-iberique.com	0033 565670561	0033 565779237	Layoule12000 RODEZ ( )FRANCIA	Morsi - Cavezze - Stivali - Staffe - Sottoselle - Selleria Bits - Halters - Boots - Stirrups - Pads - Saddlery
BIOCOCCO S.r.l.	info@biococco.com	www.biococco.com	0039 080 4962252	0039 080 4962252	Via Luigi Cadorna, 4/a70013 CASTELLANA GROTTE (BA)Italia	Lettiere per cavalli in cocco e altri prodotti derivati dalla noce di cocco; paglia, foraggio e fieno
CARRERA S.p.A.	carrera@carrerajeans.it	www.carrerajeans.com	0039 045 6139111	0039 045 6150040	Via S. Irene 137042 CALDIERO (VR)Italia	Abbigliamento uomo donna bambino
ALBERTI di ALBERTI RENZO &amp; C. S.n.c.	alberti@alberti-import-export.com	www.alberti-import-export.com	0039 0376 604888	0039 0376 604889	Strada Segrada, 146044 GOITO (MN)Italia	Ditta import-export presente da più di 40 anni sul mercato italiano ed estero nel settore agricolo, commercializziamo marchi conosciuti a livello mondiale. Siamo distributori per l’Italia della ditta KRAIBURG leader dei tappeti in gomma per stalla e per cavalli. Import-export company operating for more than 40 years on the Italian and foreign markets in the agricultural field, we deal in world-wide renown marks. Distributor for Italy of KRAIBURG, leading company of rubber stable mats and rubber mats for horses.
ASSOCIAZIONE FRIESIAN HORSE	paolodemonte6@gmail.com	www.friesian.it	0039 338 7584168	0039 02 700530855	Via Don Sturo, 538017 MEZZOLOMBARDO (TN)Italia	Associazione
BRAMA-WEST AGRARHANDELS GmbH	info@brama-west.de	www.brama-west.de	0049 337477200	0049 3374772029	Schmogelsdorfer Ringstr. 1514929 TREUENBRIETZEN ( )GERMANIA	Equipment for horses and agriculture
SADDLE SHOP TRADING	mail@saddleshop.de	www.saddleshop.de	0049 7165928810	0049 71659288129	Strassdorfer Str. 2473037 GOEPPINGEN ( )GERMANIA	Stivali - Selleria - Abbigliamento Boots - Saddlery - Clothing
R.G. ITALY S.r.l.	info@rgitaly.com		0039 0331 254230	0039 0331 254366	Via Manzoni 621019 SOMMA LOMBARDO (VA)Italia	Produzione coperte e sottosella su misura
GAETA SPORT	gaetasport@inwind.it	www.gaetasport.com	0039 0825 532471		Piazza Umberto I, 183029 SOLOFRA (AV)Italia	Foulard - Cappelli - Calzature - Borse - Zaini - Stivali - Abbigliamento Scarves - Hats - Shoes - Bags - Knapsacks - Boots - Clothing
FACOPEL PRODUZIONE S.r.l.	info@facopel.it	www.facopel.it	0039 0572 48702	0039 0572 480144	Via Della Lama 15/A51013 CHIESINA UZZANESE (PT)Italia	Cappelli
LOS MUNEROS	info@losmuneros.com	www.losmuneros.com	0034 6 70067610	0034 9 23510428	Conceso S/N37468 SALAMANCA ( )SPAGNA	Articoli equitazione per il cavallo ed il cavaliere di produzione tipica spagnola
STHIPPOLYT ITALIA di Mario Di Stazio S.a.s.	sthippolyt@hotmail.com	www.st-hippolyt.de	0039 0125 76508 - 333 8907950	0039 0125 76508	Via Provinciale 7210010 DIELHEIM ( )GERMANIA	Mangimi e cure per il cavallo
ZPZ Trailer S.r.l.	info@zpz.it	www.zpz.it	0039 071 7103019	0039 071 7203042	Via Jesi, 23060027 OSIMO (AN)Italia	Trailers trasporto cavalli, van, giostre, tondini, scuderie, maneggi coperti e recinzioni  Vans - Trailers
COUNTRY E... S.n.c.	info@countrye.it	www.countrye.it	0039 349 6711406		Via Gaudenzio Ferrari 23/A21047 OLGIATE COMASCO (CO)Italia	Vendita di abbigliamento ed accessori Country-Western
ASSOCIAÇÃO BRASILEIRA DOS CRIADORES DO CAVALO MANGALARGA MARCHADOR	ricardoxavier@abccmm.org.br	www.abccmm.org.br	0055 31 3379-6121	0055 31 3379-6122	Av. Amazonas 602030510-000 BELO HORIZONTE ( )BRASILE	Associazione degli allevatori del cavallo Mangalarga Marchador  Brazilian Association of Mangalarga Marchador
CARROZZERIA LUCA CARLO	carloluc@carloluc.com	www.luca-c.com	0039 0565 705034 - 335 6368063	0039 0565 705062	Via Euclide57027 SAN VINCENZO (LI)Italia	Van cavalli
GUIDOLIN GIANNI	info@gianniguidolingroup.com	www.gianniguidolingroup.com - www.guidolinhorses.com	0039 049 5594011	0039 049 5594261	Via Carturo, 5835016 PIAZZOLA SUL BRENTA (PD)Italia	L'azienda produce e commercializza alimenti e prodotti per cavalli: mangimi e miscele con cereali fioccati, Wafer Fioc il pasto completo con foraggio e cereali, i biscotti naturali EquiSnack, la ECO lettiera in fibra di cocco e la linea per piccoli animali 2GPet Food. The company produces and sells feed and products for horses: flaked cereals - Wafer Fioc Line - Alfalfa cubes - EquiSnack treats for horses, ECO bedding in coconuts fibre and 2G PET FOOD the super-premium line for small pets.
SELLERIA CARMINATI EQUITAZIONE	info@carminatiequitazione.it	www.carminatiequitazione.it	0039 030 9658747	0039 030 9658754	Via Mantova, 20325018 MONTICHIARI (BS)Italia	Carminati Equitazione di Giglio: Montichiari, via Mantova 203 (Bs) Abbigliamento: Pikeur, Equilain Sarm, Las, Stubben, Eigle, Sprenger - Prodotti per la cura del cavallo - Produzione selle e selle delle migliori marche - Finimenti per attacchi - Stivali - Servizio a domicilio per maneggi
ARTE SANIA NATIVOS	artesanianativos@hotmail.com		0039 0331 515766	0039 0331 515766	Via Roma, 4220028 SAN VITTORE OLONA (MI)Italia	Artigianato Indiani d'America - Abbigliamento e oggettistica in genere new west
RIMASTEX S.r.l.	info@rimastex.com	www.rimastex.com	0039 0377 86140	0039 0377 451178	Via Balbi 8126864 OSPEDALETTO LODIGIANO (LO)Italia	Tessuti per fondi equestri e attrezzature per scuderie
TABARRIFICIO VENETO	info@tabarro.it	www.tabarro.it	0039 041 433111	0039 041 5703201	Via Meucci, 1630035 MIRANO (VE)Italia	Tabarri, spolverini e saltafossi
TANDY LEATHER	jerez311@tandyleather.com	www.tandyleather.eu	0034 856606012	0034 956303314	C/ Industria 411407 JEREZ DE LA FRONTERA ( )SPAGNA	Tandy Leather è leader mondiale nella distribuzione e produzione del cuoio. Ha piú di 100 anni di esperienza in questo settore. Nel nostro catalogo possono trovare tutto il necessario per la lavorazione del cuoio, sia come professionale che come hobby. Nei nostri negozi in Inghilterra e in spagna disponiamo del servizio clienti in italiano. Tandy Leather is the world's leading distributor of premium leather and supplies. We have over 100 years of experience in the business. In our catalogue we offer you everything one needs to work in leather, wether it is for fun or profit. In our stores in England and Spain we can offer you client service in Italian.
HUNTER - OUTDOOR CLOTHING	info@rockall.info	www.rockall.info	0044 121 555 8334	0044 121 565 3404	31-33 Anne Road, Smethwick, Warley, West MidlandsB66 2NZ SMETHWICK, WARLEY ( )GRAN BRETAGNA	Manufactures and distributor of high class outdoor clothing of the brand; Hunter outdoor. Direct outlet super sale. All trade enquirers Welcome
NATURA A CAVALLO	nacnaz@tin.it	www.naturaacavallo.it	0039 0437 554673	0039 0437 554673	Via Pialdier 8632028 TRICHIANA (BL)Italia	Un impegno a divulgare l’amore verso la natura, l’ambiente, la ricerca culturale, gastronomica e la solidarietà nei rapporti umani e sociali. Natura a Cavallo ha sempre significato Turismo Equestre. Una promozione del territorio dove il passo lento del nostro amico Cavallo ha dato la possibilità a Noi tutti di riscoprire la cultura e la storia delle nostre terre e di esprimere l’immenso amore e rispetto che Noi portiamo all’ambiente che ci circonda. Un Turismo equestre che ci permette ogni giorno di risvegliare nelle genti gli assopiti antichi valori e di stimolare la ricerca della felicità.
NAGY LOVAS KFT.	info@nagylovas.hu	www.nagylovas.hu	0036 1 4334266	0036 1 4334265	Köbànyai ùt 41/c1101 BUDAPEST ( )UNGHERIA	Attrezzature per equitazione Horse-riding accessories - Bits - Blankets - Bridles - Harness - Spurs - Clothing
ANTICA SARTORIA DI MAREMMA - CONFEZIONI BREMA di SCHEGGI BREMA &amp; C. S.n.c.	info@confezionibrema.it	www.confezionibrema.it	0039 0564 503029	0039 0564 503414	Via Del Colle snc58054 PANCOLE (GR)Italia	"Abbigliamento tipico maremmano marchio ""Antica Sartoria di Maremma"""
SELLERIA GIANETTI ENRICO s.n.c.	gianetti@gianettiselleria.it	www.gianettiselleria.it	0039 02 9602924	0039 02 9602924	Via Achille Marazzi 921047 SARONNO (VA)Italia	Accessori per l'equitazione - Selleria Horse-riding accessories - Saddlery
PORRINI FRANCO S.p.A.	info@porrinifrancospa.it	www.porrinifrancospa.it	0039 0331 295775	0039 0331 296565	Via 2 Giugno, 34-36-3821011 CASORATE SEMPIONE (VA)Italia	Cereali e mangimi per cavalli sportivi, trucioli per lettiere Shavings - Horse feeders
COAST 2 COAST	info@magros.it	www.magros.it	0039 049 701875	0039 049 8312154	Strada del Santo 5135010 CADONEGHE (PD)Italia	Vendita al dettaglio di abbigliamento ed accessori western & country We sell western & country items
MALL FASHION 'SARTI DI MAREMMA'	mallfashion@abbigliamentomaremmano.it	www.abbigliamentomaremmano.it	0039 0564 955235 - 366 8045374		Via Della Croce 5/a58033 CASTELDELPIANO (GR)Italia	Produzione di abbigliamento tipico maremmano confezione sartoriale anche su misura,prezzi speciali per gruppi ed associazioni specializzati in completi per la monta maremmana e da lavoro confezione di giacche giacconi cappotti gilè pantaloni cappelli ed accessori di alta sartoria artigianale
AIGW ASSICIAZIONE ITALIANA GIMKANA WESTERN	info@aigw.eu	www.aigw.eu	0039 335 6373124		Via Canale Angelino 444047 ASTI (AT)Italia	Associazione Italiana Gimkana Western
FA. CALLIMEX - MARIO GUADARRAMA	callimex@t.online.de	www.callimex.com	0049 92449859993	0049 92449859992	Riegelsteinerstrasse 1391287 PLECH ( )GERMANIA	Western hats and leather clothes
STEGIP 4COMMUNICATION S.r.l.	mail@stegip.it	www.stegip.it	0039 06 6281799	0039 06 6142670	Piazza Pio IX 500167 ROMA (RM)Italia	Azienda leader nella distribuzione di abbigliamento sportivo - rappresentante esclusiva del marchio Italiana Design. Leader Company for the distribution of sportswear clothings, Stegip is the exclusive agent of the brand Italiana Design.
CARUANA 'SPECIALITA' SICILIANE'	sercaruana@gmail.com		0039 339 6493118	0039 051 455230	Via Lidice 440139 BOLOGNA (BO)Italia	Prodotti Regionali - Pasticceria tipica siciliana di produzione artigianale Regional Products
CATMA S.n.c.	info@catma.it	www.catma.it	0039 0172 641170 - 335 6383693	0039 0172 641170	Via Rubattera, 44h - Fraz. Murazzo12040 FOSSANO- FR. MURAZZO (CN)Italia	Box per cavalli - Giostre tradizionali - Giostre a base rotante - Recinzioni - Tondini - Capannine da paddock - Portaballoni - Porte - Accessori  Boxes - Horse stables - Horse training roundabouts - Fixed fences - Accessories for horse stables - Horse riding equipment - Horse-box doors
MIGLIORI OLIVE ALL'ASCOLANA S.r.l.	ze.migliori@gmail.com	www.miglioriolive.it	0039 348 3421386		Via Delle Zeppelle 11363100 ASCOLI PICENO (AP)Italia	Olive all'ascolana Regional Products
ASD FONTEVIVOLA RANCH	info@fontevivolaranch.it	www.fontevivolaranch.it	0039 329 2348551	0039 0761 659167	Via delle Viole 40 - Loc. Fontevivola01015 ROMA (RM)Italia	Scuola di equitazione per adulti e bambini, Trekking e passeggiate, box e paddock, allevamento, degustazione di prodotti tipici regionali.
DUBARRY OF IRELAND BY TOMASONI FITTINGS S.r.l.	italy@dubarry.com	www.dubarry.com	0039 010 9761106	0039 010 9769470	Via G. Marconi 5916010 SAVIGNONE (GE)Italia	Stivali e calzature in pelle e goretex - Abbigliamento ed accessori outdoor - Stivali - Giacche - Cappelli - Calzature - Borse - Valigeria - Abbigliamento Premium performance boots and shoes in leather and goretex - Outdoor clothing and accessories - Boots - Jackets - Hats - Shoes - Bags - Luggage - Clothing
VANS FAUTRAS ITALIA concessionaria esclusiva per l'ITALIA	fautras@gmail.com	www.fautras.com	0039 333 69 68766	0035 55 3271055	Marie Héléne De Vincenzi24230 MONTCARET ( )FRANCIA	Rimorchi per cavalli, trailers
SPRING HOUSE GROUP LTD	drew@springhousegroup.com	www.springhousegroup.com	0044 1423 871894	0044 1423 871907	Burn BridgeHG3 1PW HARROGATE, N.YORKS. ( )GRAN BRETAGNA	Vacanze equestri in Inghilterra (12 - 18) Riding and English Riding Holidays. Horse Treats
ASD A.N.I.E. - ASSOCIAZIONE NAZIONALE ISTRUTTORI D'EQUITAZIONE	anie_milano@yahoo.it	www.aniemilano.it	0039 02 40076957	0039 02 40076957	Via Fetonte, 2120151 MILANO (MI)Italia	Associazione
NATUR'KDO	contact@naturkdo.com	www.naturkdo.com	0033 565657983		Le Vialardel12200 LA BASTIDE L'EVEQUE ( )FRANCIA	Collezione di orologi - Occhiali - Oreficerie, gioiellerie - Giocattoli Glasses - Jewellery - Toys
TECNOPLUS S.r.l.	info@graphicline.ue	www.graphicline.eu	0039 0533 640615	0039 0533 872225	Via Lidi Ferraresi 2/C44027 MIGLIARINO  (FE)Italia	Bauli per equitazione
LES CRINS D'OR	lescrinsdor@yahoo.fr		0033 3 25391458	0033 3 25396027	8 Rue Des Camps10400 LA SAULSOTTE ( )FRANCIA	Gioielli, statues, peluches, orologi
SETZI S.r.l.	setzisaddles@yahoo.com	www.setzisaddles.com	0044 372923570	0044 372923570	Str. Alunis300772 TIMISOARA ( )ROMANIA	Selle tecniche per endurance, trekking e dressage Lightweight technical endurance, trekking and dressage saddles
